UserID,Date,Timekeeper,Client ,Matter,Task,Activity,Billable,HoursWorked,HoursBilled,Rate,Amount,Phase,Code1,Code2,Code3,Note,Narrative
DCRA,20240401,DCRA,1014,36088,,,,0.5,0.5,,,,,,,,Email with Kathy concerning case update.
DCRA,20240401,DCRA,4347,35742,,,,0.1,0.1,,,,,,,,Email with opposing counsel concerning settlment.
DCRA,20240401,DCRA,1014,33242,,,,0.1,0.1,,,,,,,,Email to clients concerning settlement.
DCRA,20240401,DCRA,1014,33180,,,,0.5,0.5,,,,,,,,Telephone conference with opposing counsel concerning continued trial date.
DCRA,20240401,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning stipulation for new trial date.
DCRA,20240401,DCRA,1014,33180,,,,0.4,0.4,,,,,,,,Email to clients concerning necessity to move trial date. 
DCRA,20240401,DCRA,3911,33823,,,,0.2,0.2,,,,,,,,"Review subpoena to Wingstop, Inc. for basis for motion to quash."
DCRA,20240401,DCRA,1027,37380,,,,0.2,0.2,,,,,,,,Email clients concerning mediation with Linda Meyer.
DCRA,20240401,DCRA,1027,37380,,,,0.1,0.1,,,,,,,,Emails to Gregg and Diane concerning mediation with Linda Meyer.
DCRA,20240401,DCRA,1522,34550,,,,0.3,0.3,,,,,,,,Review and update demand for exchange of expert information.
DCRA,20240401,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email from Susan concerning trial availability.
DCRA,20240401,DCRA,1014,36088,,,,0.2,0.2,,,,,,,,Email with Ms. Freeman of EEOC concerning settlement.
DCRA,20240401,DCRA,1027,37380,,,,0.1,0.1,,,,,,,,Email with mediator concerning upcoming mediation.
DCRA,20240401,DCRA,3911,33823,,,,0.6,0.6,,,,,,,,Preparation of meet and confer to opposing counsel concerning demurrer to Third Amended Complaint.
DCRA,20240402,DCRA,4201,34870,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning early motion for summary adjudication.
DCRA,20240402,DCRA,4347,35742,,,,0.2,0.2,,,,,,,,Email with client concerning settlement.
DCRA,20240402,DCRA,1637,33865,,,,2.3,2.3,,,,,,,,Admin-appeals
DCRA,20240402,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email to Callaghan concerning representation.
DCRA,20240402,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Further email to opposing counsel concerning stipulation to continue trial.
DCRA,20240402,DCRA,1014,38411,,,,0.2,0.2,,,,,,,,Preparation of SIR and preservation letters.
DCRA,20240402,DCRA,1326,37642,,,,0.5,0.5,,,,,,,,Correspondence to client concerning engagement and document collection and preservation.
DCRA,20240402,DCRA,1014,33180,,,,0.3,0.3,,,,,,,,Draft stipulation to continue trial date.
DCRA,20240402,DCRA,1027,37380,,,,0.9,0.9,,,,,,,,Prepare budget for matter .
DCRA,20240402,DCRA,1027,37380,,,,0.2,0.2,,,,,,,,Email to Gregg and Matt concerning budget.
DCRA,20240403,DCRA,1014,35348,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning mediation.
DCRA,20240403,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Email to Julie concerning case assessment and budget.
DCRA,20240403,DCRA,4201,34870,,,,0.5,0.5,,,,,,,,Telephone conference with Rob concerning schedule of SF matter and early motion for summary adjudication.
DCRA,20240403,DCRA,3911,33823,,,,0.7,0.7,,,,,,,,Telephone conference with Jeremy concerning demurrer to Third Amended Complaint.
DCRA,20240403,DCRA,4201,34870,,,,0.1,0.1,,,,,,,,Email to Janice concerning accrual.
DCRA,20240403,DCRA,1010,38013,,,,0.3,0.3,,,,,,,,Review deposition notice to client Tapley and further handling.
DCRA,20240403,DCRA,1010,38013,,,,0.1,0.1,,,,,,,,Email from prior counsel Woods concerning file transfer and further handling.
DCRA,20240403,DCRA,1014,33241,,,,0.3,0.3,,,,,,,,Assessment of potential benefits of requiring an inperson deposition of Plaintiff against potential cost of a motion to compel.
DCRA,20240403,DCRA,1014,33242,,,,0.1,0.1,,,,,,,,Email to opposing counsel concerning settlement.
DCRA,20240403,DCRA,1014,33242,,,,0.5,0.5,,,,,,,,Telephone call with opposing counsel Simon Grigorian concerning settlement.
DCRA,20240403,DCRA,1014,35164,,,,0.2,0.2,,,,,,,,Email to clients concerning potential service of complaint.
DCRA,20240403,DCRA,1522,34550,,,,0.4,0.4,,,,,,,,"Email concerning case status, including withdrawal from the case by Griffith and Horn."
DCRA,20240403,DCRA,1014,35348,,,,0.1,0.1,,,,,,,,Email from opposing counsel Dan Price concerning mediation.
DCRA,20240403,DCRA,1045,34676,,,,0.3,0.3,,,,,,,,Email to clients updating case relating to service of 998s and upcoming mediation.
DCRA,20240403,DCRA,1027,37380,,,,0.4,0.4,,,,,,,,Email to clients concerning case status and update.
DCRA,20240403,DCRA,1326,37642,,,,0.3,0.3,,,,,,,,Email to Michael and Carrie concerning factfinding interviews.
DCRA,20240404,DCRA,1326,37642,,,,0.2,0.2,,,,,,,,Email from Carrie concerning site visit to room and board.
DCRA,20240404,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email to Henson concerning trial subpoena.
DCRA,20240405,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Email from opposing counsel concerning cmc.
DCRA,20240405,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Review and update case management conference statement.
DCRA,20240405,DCRA,4340,35711,,,,2.6,2.6,,,,,,,,Preparation of case assessment and budget.
DCRA,20240405,DCRA,4340,35711,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning mediation date.
DCRA,20240405,DCRA,1014,33180,,,,0.3,0.3,,,,,,,,Revise stipulation to continue trial based on Judge Brodericks instructions.
DCRA,20240405,DCRA,4340,35711,,,,0.2,0.2,,,,,,,,Email to client concerning case assessment and budget.
DCRA,20240405,DCRA,1014,38411,,,,0.1,0.1,,,,,,,,Email to Mat (former counsel) concerning case status.
DCRA,20240406,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Further email to Henson concerning trial subpoeana.
DCRA,20240406,DCRA,1014,33180,,,,0.1,0.1,,,,,,,,Email opposing counsel concerning revised stipulation.
DCRA,20240406,DCRA,1014,33242,,,,0.3,0.3,,,,,,,,Email to clients concerning Plaintiff's settlement demand.
DCRA,20240406,DCRA,1522,34550,,,,1,1,,,,,,,,Telephone conference with Septic expert Bonneau Dickson.
DCRA,20240406,DCRA,1637,33865,,,,0.1,0.1,,,,,,,,Email Brandon and Matt concerning case dismissal.
DCRA,20240408,DCRA,1010,38013,,,,0.3,0.3,,,,,,,,Review subpoenas issued by prior counsel Woods for Plaintiff's medical records and further handling.
DCRA,20240408,DCRA,1010,38013,,,,0.2,0.2,,,,,,,,Review email from client Tapley concerning deposition preparation and accident details.
DCRA,20240408,DCRA,1522,34550,,,,0.1,0.1,,,,,,,,Email to clients concerning trial strategy.
DCRA,20240408,DCRA,4340,35711,,,,0.1,0.1,,,,,,,,Email to mediator concerning medation dates.
DCRA,20240408,DCRA,1014,33180,,,,0.2,0.2,,,,,,,,Review changes to stipulation made by opposing counsel and finalize stipulation.
DCRA,20240408,DCRA,1010,38013,,,,0.4,0.4,,,,,,,,Review Plaintiff's responses to interrogatories in connection with initial assessment.
DCRA,20240408,DCRA,1010,38013,,,,0.1,0.1,,,,,,,,Review email from Garcia to Tyson Mendes concerning Plaintiff's manuvers.
DCRA,20240404,DCRA,1522,34550,,,,1.1,1.1,,,,,,,,Telephone conference with septic expert concerning opinions.
DCRA,20240408,DCRA,4161,34973,,,,0.1,0.1,,,,,,,,Emails with Christina concerning 998.
DCRA,20240408,DCRA,4151,38741,,,,0.8,0.8,,,,,,,,Admin: Opening Matter`
DCRA,20240409,DCRA,4151,38741,,,,0.1,0.1,,,,,,,,Email to client concerning case assignment.
DCRA,20240409,DCRA,4201,34870,,,,0.2,0.2,,,,,,,,Email to opposing counsel concerning  Baker's requested extension of time to SBM's complaint.
